Player,Span,Mat,Inns,Dis,Ct,St
HG Kuhn (SA),2009-2017,7,7,5,5,0
NR Kumar (CAN),2012-2019,18,18,5,5,0
AV Lalcheta (OMAN),2015-2019,17,16,5,5,0
JS Malhotra (USA),2019-2019,6,6,5,2,3
A Mansale (VAN),2019-2019,14,14,5,5,0
T Maruma (ZIM),2008-2019,13,13,5,5,0
S Matsikenyeri (ZIM),2006-2012,10,10,5,5,0
SS McKechnie (HKG),2019-2019,10,10,5,4,1
EJB Miles (JER),2019-2019,14,14,5,5,0
AF Milne (NZ),2010-2018,21,21,5,5,0
Mirwais Ashraf (AFG),2010-2016,25,25,5,5,0
Mohammad Rizwan (PAK),2015-2019,16,16,5,3,2
Mohammed Nadeem (QAT),2019-2019,15,15,5,5,0
M Morkel (SA/World),2007-2017,44,44,5,5,0
CB Mpofu (ZIM),2008-2019,30,30,5,5,0
Muhammad Tanveer (QAT),2019-2019,15,15,5,5,0
S Muniandy (MAL),2019-2019,15,14,5,5,0
C Munoz-Mills (ESP),2019-2019,9,9,5,5,0
SJ Myburgh (NL),2012-2019,33,32,5,5,0
JDS Neesham (NZ),2012-2019,18,18,5,5,0
R Nehonde (Botsw),2019-2019,7,7,5,5,0
OE Newey (GUE),2019-2019,7,7,5,4,1
RJ Nicol (NZ),2010-2013,21,21,5,5,0
NM Odhiambo (KENYA),2010-2019,16,16,5,5,0
TM Odoyo (KENYA),2007-2013,11,11,5,5,0
CN Onwuzulike (NGA),2019-2019,9,9,5,5,0
R Panchal (ESP),2019-2019,9,9,5,5,0
WD Parnell (SA),2009-2017,40,40,5,5,0
AR Patel (INDIA),2015-2018,11,11,5,5,0
MD Patel (USA),2019-2019,8,8,5,3,2
NK Patel (USA),2019-2019,4,4,5,5,0
Rahmanullah Gurbaz (AFG),2019-2019,7,7,5,4,1
J Rasu (VAN),2019-2019,13,13,5,5,0
D Ravu (PNG),2019-2019,17,17,5,5,0
JJ Roy (ENG),2014-2018,32,32,5,5,0
Sami Sohail (MWI),2019-2019,7,7,5,5,0
Sandeep Goud (OMAN),2019-2019,12,12,5,5,0
E Schiferli (NL),2008-2010,7,6,5,5,0
Shafiq Sharif (MAL),2019-2019,10,9,5,2,3
KD Shah (HKG),2014-2019,26,26,5,5,0
OA Shah (ENG),2007-2009,17,17,5,5,0
Shapoor Zadran (AFG),2010-2018,34,34,5,5,0
Sharjeel Khan (PAK),2013-2016,15,15,5,5,0
RJ Sidebottom (ENG),2007-2010,18,18,5,5,0
LPC Silva (SL),2006-2011,16,16,5,5,0
TB Sole (SCOT),2019-2019,9,9,5,5,0
GP Swann (ENG),2008-2012,39,39,5,5,0
SR Taylor (USA),2019-2019,8,8,5,5,0
SO Tikolo (KENYA),2007-2013,15,15,5,5,0
AJ Turner (AUS),2017-2019,11,11,5,5,0
C Viljoen (NAM),2019-2019,12,12,5,5,0
JM Vince (ENG),2015-2019,12,12,5,5,0
Wahab Riaz (PAK),2008-2019,31,31,5,5,0
B Ward (JER),2019-2019,13,13,5,5,0
Washington Sundar (INDIA),2017-2019,18,18,5,5,0
Abdul-Shakoor Rahimzei (GER),2019-2019,7,7,4,4,0
CN Ackermann (NL),2019-2019,11,11,4,4,0
Adnan Idrees (KUW),2019-2019,6,6,4,4,0
Aftab Ahmed (BDESH),2006-2010,11,11,4,4,0
FA Allen (WI),2018-2019,11,11,4,4,0
Amjad Javed (UAE),2014-2017,22,22,4,4,0
SE Aquilina (MALTA),2019-2019,4,4,4,0,4
Asad Mohammad (GER),2019-2019,9,9,4,4,0
MA Baig (MWI),2019-2019,7,7,4,4,0
B Banerjee (Mex),2019-2019,6,6,4,4,0
